TimeStamp,xVel1,yVel1,xVel2,yVel2
22:22.1,-0.011057007,0.030097755,0.01698576,0.00032697
22:22.2,-0.01115056,0.030156732,0.017006979,0.000425648
22:22.2,-0.011831755,0.030267295,0.017123184,0.000497431
22:22.3,-0.01222257,0.030410508,0.01745467,0.000318189
22:22.5,-0.012315632,0.030662693,0.017409903,0.000592478
22:22.7,-0.012345295,0.03069756,0.017346951,0.000361642
22:22.7,-0.01205102,0.03078432,0.017284077,0.000356114
22:22.8,-0.011952016,0.031188837,0.017756946,0.000236486
22:23.0,-0.012325181,0.031870352,0.017280886,0.000119422
22:23.1,-0.012264281,0.032064001,0.017236513,0.000425787
22:23.3,-0.012352206,0.032058645,0.017015912,0.000761355
22:23.5,-0.012425001,0.03206426,0.017336039,0.000683636
22:23.6,-0.012557534,0.032292333,0.01762954,0.000623677
22:23.7,-0.012610178,0.032289902,0.017466879,0.00058186
22:23.9,-0.012877651,0.032312074,0.017411632,0.000513282
22:24.0,-0.012724661,0.032605191,0.017725099,0.000572636
22:24.1,-0.012952758,0.03272627,0.017514853,0.000645231
22:24.3,-0.012515206,0.032904047,0.01756059,0.000764404
22:24.4,-0.013028901,0.032927787,0.017215921,0.001146517
22:24.5,-0.013121551,0.032753948,0.017517807,0.001174899
22:24.6,-0.013462708,0.033026342,0.017325894,0.001253521
22:24.7,-0.013963891,0.033152969,0.016949047,0.001814434
22:24.9,-0.014245579,0.033621988,0.017054415,0.001758785
22:25.0,-0.01427835,0.033429616,0.017382303,0.001393069
22:25.1,-0.014446677,0.034028625,0.017996213,0.001426469
22:25.2,-0.014585989,0.034107131,0.018146439,0.00154096
22:25.4,-0.014405115,0.034277816,0.018134681,0.001678976
22:25.5,-0.014824165,0.03464803,0.017981708,0.001548061
22:25.6,-0.014686823,0.034823974,0.018464508,0.001498285
22:25.8,-0.014369826,0.035345483,0.018521897,0.001933721
22:26.0,-0.01457426,0.035557827,0.018556253,0.002271297
22:26.3,-0.014994155,0.035617606,0.01865682,0.002354339
22:26.5,-0.015104536,0.035639373,0.018539517,0.002580634
22:26.6,-0.015252397,0.035641443,0.018957786,0.002393223
22:26.6,-0.015139639,0.035184666,0.019324879,0.002266665
22:26.8,-0.014918657,0.035058317,0.019385171,0.002055661
